Name,Hex,Preview,
**black**,`#000000`,![#000000](https://via.placeholder.com/120x45/000000?text=+),
**silver**,`#c0c0c0`,![#c0c0c0](https://via.placeholder.com/120x45/c0c0c0?text=+),
**gray**,`#808080`,![#808080](https://via.placeholder.com/120x45/808080?text=+),
**white**,`#ffffff`,![#ffffff](https://via.placeholder.com/120x45/ffffff?text=+),
**maroon**,`#800000`,![#800000](https://via.placeholder.com/120x45/800000?text=+),
**red**,`#ff0000`,![#ff0000](https://via.placeholder.com/120x45/ff0000?text=+),
**purple**,`#800080`,![#800080](https://via.placeholder.com/120x45/800080?text=+),
**fuschia**,`#ff00ff`,![#ff00ff](https://via.placeholder.com/120x45/ff00ff?text=+),
**green**,`#008000`,![#008000](https://via.placeholder.com/120x45/008000?text=+),
**lime**,`#00ff00`,![#00ff00](https://via.placeholder.com/120x45/00ff00?text=+),
**olive**,`#808000`,![#808000](https://via.placeholder.com/120x45/808000?text=+),
**yellow**,`#ffff00`,![#ffff00](https://via.placeholder.com/120x45/ffff00?text=+),
**navy**,`#000080`,![#000080](https://via.placeholder.com/120x45/000080?text=+),
**blue**,`#0000ff`,![#0000ff](https://via.placeholder.com/120x45/0000ff?text=+),
**teal**,`#008080`,![#008080](https://via.placeholder.com/120x45/008080?text=+),
**aqua**,`#00ffff`,![#00ffff](https://via.placeholder.com/120x45/00ffff?text=+),
**orange**,`#ffa500`,![#ffa500](https://via.placeholder.com/120x45/ffa500?text=+),
**aliceblue**,`#f0f8ff`,![#f0f8ff](https://via.placeholder.com/120x45/f0f8ff?text=+),
**antiquewhite**,`#faebd7`,![#faebd7](https://via.placeholder.com/120x45/faebd7?text=+),
**aquamarine**,`#7fffd4`,![#7fffd4](https://via.placeholder.com/120x45/7fffd4?text=+),
**azure**,`#f0ffff`,![#f0ffff](https://via.placeholder.com/120x45/f0ffff?text=+),
**beige**,`#f5f5dc`,![#f5f5dc](https://via.placeholder.com/120x45/f5f5dc?text=+),
**bisque**,`#ffe4c4`,![#ffe4c4](https://via.placeholder.com/120x45/ffe4c4?text=+),
**blanchedalmond**,`#ffebcd`,![#ffebcd](https://via.placeholder.com/120x45/ffebcd?text=+),
**blueviolet**,`#8a2be2`,![#8a2be2](https://via.placeholder.com/120x45/8a2be2?text=+),
**brown**,`#a52a2a`,![#a52a2a](https://via.placeholder.com/120x45/a52a2a?text=+),
**burlywood**,`#deb887`,![#deb887](https://via.placeholder.com/120x45/deb887?text=+),
**cadetblue**,`#5f9ea0`,![#5f9ea0](https://via.placeholder.com/120x45/5f9ea0?text=+),
**chartreuse**,`#7fff00`,![#7fff00](https://via.placeholder.com/120x45/7fff00?text=+),
**chocolate**,`#d2691e`,![#d2691e](https://via.placeholder.com/120x45/d2691e?text=+),
**coral**,`#ff7f50`,![#ff7f50](https://via.placeholder.com/120x45/ff7f50?text=+),
**cornflowerblue**,`#6495ed`,![#6495ed](https://via.placeholder.com/120x45/6495ed?text=+),
**cornsilk**,`#fff8dc`,![#fff8dc](https://via.placeholder.com/120x45/fff8dc?text=+),
**crimson**,`#dc143c`,![#dc143c](https://via.placeholder.com/120x45/dc143c?text=+),
**cyan**,`#00ffff`,![#00ffff](https://via.placeholder.com/120x45/00ffff?text=+),
**darkblue**,`#00008b`,![#00008b](https://via.placeholder.com/120x45/00008b?text=+),
**darkcyan**,`#008b8b`,![#008b8b](https://via.placeholder.com/120x45/008b8b?text=+),
**darkgoldenrod**,`#b8860b`,![#b8860b](https://via.placeholder.com/120x45/b8860b?text=+),
**darkgray**,`#a9a9a9`,![#a9a9a9](https://via.placeholder.com/120x45/a9a9a9?text=+),
**darkgreen**,`#006400`,![#006400](https://via.placeholder.com/120x45/006400?text=+),
